Por que você sai da cama todos os dias?
//João Guilherme Silveira Santos: É normal pensar em coisas quando não devíamos estar pensando, como pensar em um elefante branco por exemplo. Você esta pensando né?! << 1 >>

//Rafael Ribeiro Rezende: Comprometimento e responsabilidade << 3 >>

//Marco Antônio Accorsi Lisboa Filho: Porque o trabalho gera preocupações difíceis de esquecer. << 31 >>

//Rafael Dias Rocha: ............................ << 2 >>

//Rafael Dias Rocha: ....................................................... << 4 >>

//João Vitor Marques.: Eu não penso em trabalho quando não estou no trabalho. << 1 >>

//Gustavo Rocha Torquato: Porque não pensar no trabalho? Porque não pensar na empresa, onde passamos a maior parte do tempo? << 66 >>

//Marco Antônio Accorsi Lisboa Filho: (máximo 4000 caracteres) << 1 >>

//Elen Daiana Pereira Silvano: Por que eu trabalho. << 1 >>

//Lucas Pizzoni: porque quere não é poder, eu não queria ta pensando mas estou << 10 >>

//João vitor ferreira leal: porque a cabeça fica ligada no trabalho mesmo após. << 4 >>

//giovan de bem: Quando eu não deveria pensar em trabalho? E por que? << 1 >>

//Rafael Chagas: E quem disse que eu penso em trabalho quando não deveria pensar em trabalho? << 190 >>

//Weslen Jorge Lima Borges: Por que as vezes esquecemos de virar a chave, da vida pessoal e trabalho << 5 >>

//carolina b maximo forgiarini: eu não penso ... saio daqui esqueço de tudo..... << 13 >>

//Amanda Topanotti Zanette: Eu não penso no trabalho fora do trabalho. << 3 >>

//JOÃO PEDRO DE SOUZA: porque não deveria ? << 33 >>

//Igor Passarela: fghfghfghfgh << 1 >>

//Juliano Cenci: porque eu sonho que estou trabalhando e quando estou trabalhando sonho em estar em casa? << 9 >>

//Weslen Jorge Lima Borges: Por que não viramos a chave, vida pessoal e profissional. << 18 >>

//Juliano Cenci: Inferno.rendered << 2 >>

//Vitor Corrêa: Ansiedade << 1 >>

//Michel Diogo Formigoni: Comprometimento << 28 >>

//Juliano Cenci: carregarDumbbox << 2 >>

//Juliano Cenci: xxxxxxxxxxxxxxxxxxxxxxxxxx << 4 >>

//Juliano Cenci: porque quando estou em casa penso que estou trabalhando e quando estou trabalhando sonho que estou trabalhando? << 7 >>

//Juliano Cenci: testandooooooooo << 9 >>

//Juliano Cenci: << 8 >>

//Juliano Cenci: ., << 55 >>

//Thaynã Borges Cardoso Martins: Eu não penso em trabalho quando não devo pensar em trabalho. O importante e se dedicar e fazer sempre o trabalho com excelência e eficiência dentro do horário de expediente, fora dele é se dedicar a nossa família, hobby, laser....isso chama equilibrar a vida << 155 >>

//Gustavo Rocha Torquato: Por que não pensar em trabalho sendo que passamos a maior parte das nossas vidas trabalhando? << 374 >>

//Túlio Gabriel Domingos: Eu penso em trabalho só no trabalho << 59 >>

//Thamiris Biava Uggioni: Porque sou uma pessoa preocupada e ansiosa << 12 >>

//Luigi Maestrelli: Stress, burnout... A empresa nos proporciona várias opções << 1 >>

//Michel Diogo Formigoni: Comprometimento com o trabalho << 3 >>

//Rodrigo Goulart: porque no trabalho eu penso em assuntos que não são do trabalho...por isso. << 2 >>

//Mari Ângela Luciano: Uma boa pergunta kkk, cérebro não desliga, afff << 5 >>

//Willi Villi Viana: Porque a necessidade de buscar um futuro melhor me faz continuar lutando todos os dias. << 19 >>

//Juliano Cenci: $(document).on("click", function (e) { var obj = 'item', id = $(e.target).attr('id'); if (id==obj) return; if ($("#"+obj+" #"+id).length > 0) return; $("#"+obj).hide(); }); << 5 >>

//Gustavo Rocha Torquato: Porque não pensar em trabalho sendo que a maioria do tempo que passamos é aqui? << 33 >>

//JOÃO PEDRO DE SOUZA: Pelo mesmo motivo de não estar pensando quando deveria estar pensando! << 19 >>

//Alessandro Nunes dos Santos Junior: Podia estar pensando em como sair do bronze << 1 >>

//Juliano Cenci: porque só pensamos em trabalho << 79 >>

//Henrique da Rosa: Porque algo fez lembrar o trabalho << 2 >>

//Thaynã Borges Cardoso Martins: Eu não penso em trabalho quando não devo pensar em trabalho. O importante e se dedicar e fazer sempre o trabalho com excelência e eficiência dentro do horário de expediente, fora dele é se dedicar a nossa família, hobby, laser....isso chama equilibrar a vida. << 113 >>

//Juliano Cenci: $(function() { var div = $("#div"); // seleciona a div específica $("body").on("click", function (e) { if (div.has(e.target).length || e.target == div[0]) return; alert("Você clicou fora da div!"); }); }) << 1 >>

//Filipe Querino dos Santos: Porque ninguém gosta de deixar coisas mal resolvidas ou inacabadas << 130 >>

//Guilherme Crepaldi: a cabeça não para de funcionar nunca! << 648 >>

//Stephany Costa: Se eu penso em coisas alheias quando era para estar pensando em trabalho posso concluir que o motivo é o mesmo: Os pensamentos ficam dentro da cabeça por isso não conseguimos parar de pensar nunca, é porque a cabeça tá grudada no nosso pescoço. << 41 >>

//Lucas Leonardo da C M Dias : Porque passo a maior parte do meu dia trabalhando, acaba ocorrendo algumas preocupações fora do expediente, normal. << 1 >>

//Vinicius Danielski Milanez: Talvez seja um ânsia de concluirmos os objetivos. Resolver os desafios o mais rápido o possível, seja pelo fato de estar numa situação estressante ou pelo fato de gostar de ver uma trabalho bem feito que nos da uma sensação que podemos relaxar por um instante pois a situação está controlada, por ter cumprido um objetivo, liberando ocitocina e dopamina que são uns dos hormônios caracterizados como hormônio da felicidade. Mas se pensamos no trabalho mesmo quando não deveríamos e por que também pensamos na sexta em quanto estamos tomando o café numa manhã na segunda? << 2 >>

//Filipe Querino dos Santos: Porque ninguém gosta de deixar coisas inacabadas ou mal resolvidas << 28 >>

//Rafael Ribeiro Rezende: testeeeeeeee << 1 >>

//Vinicius Danielski Milanez: Talvez seja um ânsia de concluirmos os objetivos. Resolver os desafios o mais rápido o possível, seja pelo fato de estar numa situação estressante ou pelo fato de gostar de ver uma trabalho bem feito que nos da uma sensação que podemos relaxar por um instante pois a situação está controlada, por ter cumprido um objetivo, liberando ocitocina e dopamina que são uns dos hormônios caracterizados como hormônio da felicidade. Mas se pensamos no trabalho mesmo quando não deveríamos e por que também pensamos na sexta em quanto estamos tomando o café numa manhã de segunda? << 1 >>

//Filipe Querino dos Santos: Porque ninguém gosta de deixar coisas pela metade ou ou mal feitas << 15 >>

//Rafael Chagas: E quem disse que penso em trabalho quando não estou trabalhando? << 9 >>

//Rafael Chagas: E que disse que penso em trabalho quando não estou trabalhando? << 7 >>

//Rafael Chagas: De novo? << 1 >>

//Rafael Chagas: pergunta insistente << 1 >>

//Juliano Cenci: Inferno.iniciarFase(); << 3 >>

//Juliano Cenci: Inferno.renderStageOne(); << 1 >>

//Juliano Cenci: Inferno.renderStageOne() << 4 >>

//Juliano Cenci: Inferno.renderStageOne(teste) << 1 >>

//Thiago Darós: Porque 20% dos problemas que tenho no trabalho representam 80% dos problemas que tenho na vida. << 30 >>

//Michel Diogo Formigoni: Porque somos comprometidos << 28 >>

//Leonardo da Silva Serafim: Pelo próprio compromisso que temos com ele diariamente. << 11 >>

//Juliano Cenci: avisaSucesso << 10 >>

//Juliano Cenci: Sucesso << 3 >>

//Juliano Cenci: me.rendered << 1 >>

//João vitor ferreira leal: pois continuamos ligado << 13 >>

//Juliano Cenci: async: false << 2 >>

//Juliano Cenci: async:false << 1 >>

//Juliano Cenci: async false << 2 >>

//Juliano Cenci: async << 1 >>

//Josué Trombim: Porque o trabalho ocupa mais parte do nosso tempo do que qualquer outra coisa kkk << 26 >>

//Sandro Nazário: Acredito que seja automático do cérebro, quando se fica por muito tempo concentrado em uma atividade, ele acaba memorizando isso e levando esses pensamentos com ele. << 16 >>

Por que as pessoas são massa?
//Catia berti da silva: Nem todas hehehe << 45 >>

//Weslen Jorge Lima Borges: Por que nem todas elas são? kkk << 1 >>

//Marco Pizzollo: pq tu tem que ser pior que alguém que é pior do que o primeiro lugar << 2 >>

//LILIAN NART GRASSI MAZZORANA: Por que investir em moedas que nem podemos tocar? Tenho medo disso. Sou do tempo de guardar dinheiro embaixo do colchão. << 27 >>

//LILIAN NART GRASSI MAZZORANA: A maioria gosta de comidas que são "massa". O italiano tem disso.. massa.. festa.. comida.. gente reunida.. << 23 >>

//Rafael Chagas: massa corpórea? << 3 >>

//Marlon de Bem: Porque são únicas << 1 >>

Por que tem uma mancha no vidro?
//Rafael Dias Rocha: Sei lá............. << 12 >>

//Kesley Ferreira Alves: Porque ninguém limpou << 14 >>

//Evandro Rodrigues Porto: Por que a Ruth não viu, se não ela não deixava passar. << 1 >>

//Evandro Menegaz de Oliveira: Autor decidiu que seria desta maneira, achei original. << 1 >>

//LILIAN NART GRASSI MAZZORANA: Algo aconteceu pra ficar assim. << 22 >>

//Marieli Rodrigues dos Santos Menegas: Isso não ocorre no meu setor rsrsrs, geralmente quem leva é meio aleatório. << 31 >>

Por que servir?
//Gustavo Rocha Torquato: Porque não servir? << 45 >>

Por que café?
//Eduardo Freitas: Porque café é quentinho, cheiroso e me deixa mais ligado. << 4 >>

//Eduardo Freitas: Porque é quentinho, cheiroso e me deixa ligado. << 19 >>

//Kesley Ferreira Alves: Porque sem café não se tem vida << 3 >>

//Kesley Ferreira Alves: sem café não se tem vida << 8 >>

//Carlos Marcelo Carpes: Podia ser chocolate << 1 >>

//LILIAN NART GRASSI MAZZORANA: Adoro café. Mas só até as 15:00. Depois desse horário fico sem sono.. << 14 >>

//Michel Diogo Formigoni: Cafeína deixa mais ligado << 28 >>

//Filipe Querino dos Santos: Desempenho << 15 >>

//Doglas Elias Mateus: Porque é bom! << 1 >>

Por que 3 canecas de café por dia?
//Artini Scarabelot: Eliminar o sono! << 106 >>

//Alessandro Nunes dos Santos Junior: Tenho saudades de tomar bastante café assim todos os dias. Hoje só posso tumar uma caneca. Café é muito bom! << 5 >>

//Ezequiel Dela Vedova de Matos: Na verdade eu tomo umas 6. << 1 >>

//LILIAN NART GRASSI MAZZORANA: Também não sei.. Tomo várias. << 28 >>

//Juliano Cenci: porque amamos café << 9 >>

//Juliano Cenci: Inferno.rendered << 2 >>

//Juliano Cenci: loadScreen << 2 >>

//Juliano Cenci: xxxxxxxxxxxxxxxxxxxxx << 4 >>

//Juliano Cenci: por que não funciona << 2 >>

//Juliano Cenci: testerdelphi2 << 2 >>

//Juliano Cenci: porque não funciona? << 3 >>

//Isabel Cristina Colombo Duarte: Não sei, eu não tomo nenhuma, não gosto de café. << 38 >>

//Rafael Chagas: poderia ser somente o café... haja caneca! << 1 >>

Por que faturar contratos?
//Marco Antônio Accorsi Lisboa Filho: Para o recolhimento das retenções e obrigações fiscais, entre outros. << 3 >>

//Weslen Jorge Lima Borges: Para a gente ter salario << 1 >>

//LILIAN NART GRASSI MAZZORANA: Faturamento é uma forma de aprovação do que foi feito executado << 23 >>

//Weslen Jorge Lima Borges: 'Por que as pessoas são massa', 'Por que tem uma mancha no vidro', 'Por que servir', 'Por que café', 'Por que 3 canecas de café por dia', 'Por que faturar contratos', 'Por que isso', 'Por que laranja', 'Por que azul', 'Por que jogar futebol com o pessoal depois do horário', 'Por que verde', 'Por que vidros adesivados', 'Por que teto de gesso', 'Por que correr 20km nos finais de semana', 'Por que treinar no horário de almoço', 'Por que treinar antes de vir trabalhar', 'Por que ir almoçar no shopping nas sextas-feiras', 'Por que o biscoito recheado acaba primeiro', 'Por que os novatos sempre pagam caixas de bombom pra sala', 'Por que café saudável', 'Por que fazer reuniões que poderiam ser um e-mail', 'Por que ir almoçar em Nova Veneza nos finais de ano', 'Por que sempre comprar salgadinhos no aniversário', 'Por que não comprar salgadinhos no aniversário de empresa', 'Por que bolo de caneca esse ano', 'Por que não tem coqueiros na frente da Useall', 'Por que sair do bronze é tão difícil', 'Por que fazer home office', 'Por que além da festa de final de ano sempre fazemos outras festas também', 'Por que 42', 'Por que cooperativas de energia', 'Por que comércio e serviços', 'Por que não manter a cor verde da casa', 'Por que os cachorros da vizinha são tão barulhentos as vezes', 'Por que desenhar coisas tão reais quanto elas são', 'Por que investir em moedas que nem podemos tocar', 'Por que esse layout', 'Por que pixels', 'Por que roxo', 'Por que muitos não sabem cuidar de cactos', 'Por que ouvir música durante o trabalho', 'Por que vidros escuros', 'Por que dois monitores', 'Por que caminhar no parque depois do trabalho', 'Por que a segunda-feira está tão longe da sexta-feira, e a sexta está tão perto da segunda', 'Por que a primeira vela acesa do advento no domingo foi verde e não vermelha', 'Por que IZY', 'Por que não', 'Por que o vinho seco é molhado', 'Por que tantos por quê', 'Por que o terceiro andar é laranja', 'Por que continuar o Play 21', 'Por que devolver a sala de jogos', 'Por que Exaltasamba toca pagode e Zeca Pagodinho toca samba', 'Por que o Artini ainda não conseguiu postar uma imagem no grupo', 'Por que precisamos lavar a toalha se já estamos limpos depois do banho', 'Por que infinitas possibilidades', 'Por que os gifs tem x3 no nome do arquivo', 'Por que um torneio de Mario Kart', 'Por que o Weslen e o Gabriel Mandelli são tão curiosos', 'Por que invadir o "site" da Useall', 'Por que que a bota a gente calça, e a calça a gente bota' << 3 >>

//carolina b maximo forgiarini: p USEALL ficar cada vez mais rica << 13 >>

//Túlio Gabriel Domingos: Pra useall não ficar pobre e não nos demitir << 59 >>

//Eduardo Cizeski Meneghel: Essa é uma reflexão que não estou disposto a fazer no momento, desculpe. << 6 >>

Por que isso?
//Guilherme Bortolotto Peritto: Também não sei << 1 >>

//Renan Coral de Oliveira: Parar criar uma interação fora do comum << 9 >>

//Weslen Jorge Lima Borges: por que temos que interagir << 20 >>

//Lucas Pizzoni: eu me pergunto a mesma coisa....Por que? << 10 >>

//Alexsandro Fernandes Maffei: Porque isso o que? << 2 >>

//Wilgner Viana da conceição: Inverte a pergunta. Por que não? << 13 >>

//Rafael Chagas: e pq não aquilo? << 4 >>

//André Tommasi Marcon: porque é massa! isso parece mínimo de 10 caracteres? << 1 >>

//LILIAN NART GRASSI MAZZORANA: Depende do que estamos conversando. Mas uso bastante essa pergunta com os clientes. << 16 >>

//Henrique da Rosa: Porque talvez não seja momento para aquilo << 2 >>

Por que laranja?
//KatriniAlamar: E agora?! será que é porque remete alegria e animo ou porque lembra fogo e estão sempre apagando fogo << 1 >>

//Renan Coral de Oliveira: Por ser uma cor vibrante. << 12 >>

//Luiz Gustavo Uggioni Savi: Porque da laranja se faz o melhor suco << 47 >>

//Rafael Dias Rocha: ..................... << 1 >>

//Rafael Dias Rocha: ................................... << 1 >>

//Rafael Dias Rocha: ................................................. << 1 >>

//Rafael Dias Rocha: .................................................................... << 3 >>

//Gustavo Rocha Torquato: Porque não laranja? << 2 >>

//Gabriel Rodrigues Bittencourt: Porque verde já é no segundo andar << 2 >>

//Thamiris Biava Uggioni: Porque a pessoa que escolheu tinha afinidade com essa cor << 12 >>

//Vinicius Danielski Milanez: Por estar ocultando algo w(ﾟДﾟ)w << 3 >>

Por que azul?
//Yuri Boppre da Silva: Por que não? << 15 >>

//Weslen Jorge Lima Borges: é piada para daltonico? kkkk << 3 >>

//LILIAN NART GRASSI MAZZORANA: Depende do que estamos falando. << 12 >>

//LILIAN NART GRASSI MAZZORANA: Depende do que estamos falando << 7 >>

//Luiz Otavio Machado Vieira: porque o grêmio vai ser rebaixado << 3 >>

//Israel burigo: Frequência da luz << 2 >>

Por que jogar futebol com o pessoal depois do horário?
//Rhyan de Souza Pisoni: Para refrescar << 1 >>

//Kesley Ferreira Alves: Pra ver homens suados na quadra << 9 >>

//Jeremias Miguel: Para não morrer cedo << 1 >>

//Tiago Rosa de Melo: Porque durante o horário não da << 4 >>

//Evandro Rodrigues Porto: Por que não da de jogar antes, pois tem que cumprir 8 horas e 48 minutos << 2 >>

//LILIAN NART GRASSI MAZZORANA: Vixi.. Não faço isso. Mas é uma forma de confraternização.. quando eles não se machucam e se brigam. << 62 >>

//Weslen Jorge Lima Borges: Por que é massa << 18 >>

Por que verde?
//Kesley Ferreira Alves: Porque é a cor do campeão da libertadores << 10 >>

//Weslen Jorge Lima Borges: Não sei, sou daltonico. << 2 >>

//LILIAN NART GRASSI MAZZORANA: Verde é a cor que gosto. Meu tapete do casamento foi verde musco.. To afinada. Na época era a moda Azul e vermelho. Eu pedi verde pra decoradora.. rrsrsr; Hahh dia 16/12 faço 21 anos de casamento. Mas verde pra mim representa natureza .. bem star.. << 41 >>

//Weslen Jorge Lima Borges: por que não o cinza? << 15 >>

//Gustavo Rocha Torquato: Por que não esta maduro << 122 >>

//Gustavo Rocha Torquato: Por que o palmeiras foi campeão << 5 >>

Por que vidros adesivados?
//Gustavo Rocha Torquato: Por que não vidros adesivados? << 19 >>

//Raquel Inácio: |Proteção solar << 1 >>

//Raquel Inácio: Proteção solar << 2 >>

//Edenilso Torres Zanoni: porque facilita o trabalho de produzir, deixar bonito e barato. << 1 >>

//LILIAN NART GRASSI MAZZORANA: Foi escolha da pessoa que adquiriu << 13 >>

//Michel Diogo Formigoni: Decoração para ficar bonito << 3 >>

Por que teto de gesso?
//Elton do Canto: porque o custo de produção é mais barato, junto também com peso, o que ajuda aliviar toda estrutura do prédio. o que acaba reduzindo o custo de produção. << 229 >>

//Hiury Guilherme Ronchi: Pq se haver um terremoto, não cairá concreto em nossas cabeças, mas sim gesso levinho << 9 >>

//Carolina Barreto Maximo Forgiarini: ?????????????? << 5 >>

//Willi Villi Viana: Para ter mais fluidez no trabalho e agilidade nas atividades. << 6 >>

//KatriniAlamar: rferewrewrwerwerwer << 1 >>

//Filipe Passos Pizzetti: Excelente custo-benefício. Facilmente encontrado em lojas de construção. Ótimo para esconder fios, vigas e dutos no teto. O forro de gesso drywall é mais fácil de instalar e não deixa sujeira. Excelente recurso para criar um ambiente com isolamento térmico e acústico << 1 >>

//Cléo Constantino: Para ficar mais elegante o ambiente! << 2 >>

//Cléo Constantino: Não sei... porque você quer saber? << 1 >>

//LILIAN NART GRASSI MAZZORANA: Porque quem escolhei de gesso acredita ser o melhor. Eu prefiro de madeira e verniz é mais fácil de manter limpo << 17 >>

//LILIAN NART GRASSI MAZZORANA: Já respondi. << 10 >>

//Jadson Sartor Laurindo: Porque é mais bonito. kkkk << 24 >>

Por que correr 20km nos finais de semana?
//João vitor ferreira leal: para manter uma saúde saudavel << 13 >>

//Weslen Jorge Lima Borges: por que não ficar em casa vendo netflix? << 3 >>

//Gustavo Valente: Manter a saúde em dia e, postar nas redes sociais, se não postou não fez << 2 >>

//João vitor ferreira leal: para o bem da saúde << 4 >>

//LILIAN NART GRASSI MAZZORANA: Quem gosta desse esporte é um prazer. << 14 >>

//João vitor ferreira leal: para uma saúde saudavel << 13 >>

Por que treinar no horário de almoço?
//Rodrigo Milanez Rodrigues: Não treino, << 3 >>

//Ericka Willeman Orben: Para otimizar o dia. << 10 >>

//LILIAN NART GRASSI MAZZORANA: Não entendi.. ?? << 14 >>

//Carolina Barreto Maximo Forgiarini: ??????????? << 1 >>

//Guilherme De Luca: Essa resposta eu não tenho, mas admiro que tem essa disposição. << 1 >>

//Bruno João Danielski: Por que preciso perder o peso que ganhei e manter o shape de nicolas cagezinho. << 6 >>

//Juliano Cenci: << 8 >>

//Juliano Cenci: ., << 1 >>

//Juliano Cenci: ., << 54 >>

Por que treinar antes de vir trabalhar?
//João Vitor Fernandes Canuto: Treinar?????????? << 1 >>

//Igor Passarela: ghfhfghfghfgh << 1 >>

//LILIAN NART GRASSI MAZZORANA: Gostaria.. Gosto de acordar cedo. Mas no meu caso não tenho tempo pra ir na academia.. voltar pra casa .. tomar banho da conta das crianças e chegar na empresa as 8:00; << 28 >>

//Juliano Cenci: testandooooooooo << 3 >>

//LILIAN NART GRASSI MAZZORANA: Já respondi << 7 >>

//Rafael Chagas: alguém faz isso...? Meu pai!! << 1 >>

Por que ir almoçar no shopping nas sextas-feiras?
//Gustavo Martins: Eu no caso não almoço no shopping, mas como seria sexta feira o pessoal gostaria de comer algo diferente sendo o final da semana! << 14 >>

//LILIAN NART GRASSI MAZZORANA: Não vou. Muito caro. << 11 >>

//Alexandre Uggioni: Para se distrair e comer algo bom. << 6 >>

Por que o biscoito recheado acaba primeiro?
//Edenilso Torres Zanoni: Porque o recheio desperta interesse em querer aproveitar o que há de mais especial entre as outras opções. << 4 >>

//LILIAN NART GRASSI MAZZORANA: Vixi. Não gosto de biscoito recheado. Mas o povo gosta. << 20 >>

//Matheus Cataneo: Por causa do Kevin, ele come tudo << 1 >>

//Rafael Chagas: pq nunca tem << 1 >>

Por que os novatos sempre pagam caixas de bombom pra sala?
//Weslen Jorge Lima Borges: Por que isso só acontece no Desenv? << 1 >>

//LUTHIERI DE AGUIAR ELIAS: Pra equipe ficar com os niveis de endorfina, serotonina e dopamina elevados durante os dias de treinamento dele. << 30 >>

//João Guilherme Silveira Santos: Tradição milenar para introdução dos filhotes na alcateia. << 1 >>

//Gustavo Valente: Porque não pagar? << 1 >>

//Catia berti da silva: Começar com o pé direito << 2 >>

//Guilherme De Luca: Toda empresa tem a sua cultura. Na Useall criamos essa cultura para sossegar as lombrigas que tem nas barrigas dos veteranos. << 6 >>

//NathanBCorrea: desconheço dessa tradição << 1 >>

//MIlena Souza da Silveira Alves: Lenda Urbana... << 3 >>

//Lucas de Souza da Rosa: Porque a gente é bonzinho, deviam pagar um cento de salgado << 1 >>

//Rodrigo Goulart: se não pagar nem começa.. << 2 >>

//Gustavo Rocha Torquato: Porque ele não pagariam caixas de bombom? << 33 >>

//Rafael Chagas: Toda escola tem taxa de matrícula... kkkk << 1 >>

//Marieli Rodrigues dos Santos Menegas: Isso não ocorre no meu setor rsrsrs, geralmente quem leva é meio aleatório. << 8 >>

Por que café saudável?
//Weslen Jorge Lima Borges: Por que a gente ta se alimentando mal. << 1 >>

//Weslen Jorge Lima Borges: Por que a gente está só comendo bolacha kkk << 3 >>

//LILIAN NART GRASSI MAZZORANA: Para influenciar as pessoas ao alimento saudável << 20 >>

//Rafael Chagas: e quem disse que café é saudável? << 8 >>

//Rafael Chagas: já respondi essa pergunta << 5 >>

Por que fazer reuniões que poderiam ser um e-mail?
//Weslen Jorge Lima Borges: Por que queremos o contato. << 1 >>

//Tiago Pereira dos Santos: Boa pergunta. << 32 >>

//Gabriel Bruch Mandelli: Pra iniciar falando de futebol << 4 >>

//LILIAN NART GRASSI MAZZORANA: Reunião pra mim já vem de reunir.. << 15 >>

//Isabel Cristina Colombo Duarte: Porque eles querem explorar coisas novas ou são apenas curiosos mesmo, eu fico com a segunda opção << 35 >>

//Rafael Chagas: pq gostam de perder tempo? << 2 >>

//Carlos Marcelo Carpes: Porque e-mail não briga << 1 >>

//Isabel Cristina Colombo Duarte: Porque sim, a bronca tem mais emoção ao vivo e a cores e o elogio também é mais profundo haha << 33 >>

//Bruno Silva Daniel: Vamos ser simplista ai poh << 3 >>

//Bruno Silva Daniel: Vamos ser simplista ai poh << 4 >>

Por que ir almoçar em Nova Veneza nos finais de ano?
//Catia berti da silva: mudar a rotina << 1 >>

//Weslen Jorge Lima Borges: Por que é top! << 2 >>

//Doglas Elias Mateus: Para conhecer novos lugares. << 9 >>

//Kesley Ferreira Alves: Pra ter uma pedacinho da Itália sem ir pra Itália << 13 >>

//Thainara Dagani Piva: Quem disse que eu vou? << 1 >>

//Carlos Marcelo Carpes: Porque é 0800 << 5 >>

//Rafael Chagas: nunca nem vi << 1 >>

Por que sempre comprar salgadinhos no aniversário?
//Rafael Dias Rocha: Para ficar com cheiro de frituras << 4 >>

//Higor Domingos Machado: Porque é uma tradição da familia Useall << 1 >>

//Simone Cacciatori de Mello: Porque os colegas pedem e ficam falando e pedindo e fazendo pressão, kkk << 1 >>

//Vinicius Elias Barabas: Pois é uma forma de comemoração com nossos colegas. << 1 >>

//LILIAN NART GRASSI MAZZORANA: Porque é mais barato e bom. << 48 >>

//Weslen Jorge Lima Borges: Por que temos que agradar aos colegas. << 5 >>

//Jeferson Bortolatto: Para comemorar com meus colegas << 1 >>

//Alexsandro Fernandes Maffei: Eu compro Mini X do Magrão << 1 >>

//Ana Paula Monteiro Morona: Pelo mesmo motivo que o "gelo seco" também é molhado :) << 1 >>

//Nério Frank da Silveira: Além de ser cultursesco, é a melhor forma de garantir mais 3 salgadaços de graça durante o ano kkk << 13 >>

Por que não comprar salgadinhos no aniversário de empresa?
//teste fazendo teste: teste!@#$%%¨& << 1 >>

//teste fazendo teste: teste!@#$%%¨&%¨&ADS << 1 >>

//Nério Frank da Silveira: Além de ser cultursesco, é a melhor forma de garantir mais 3 salgadaços de graça durante o ano kkk << 31 >>

//Rafael Chagas: pq não sou eu quem está de aniversário << 1 >>

//Juliano Cenci: Inferno.iniciarFase(); << 4 >>

//Juliano Cenci: Inferno.iniciarFase() << 3 >>

//Juliano Cenci: Inferno.iniciarFase(teste) << 2 >>

//Thaynã Borges Cardoso Martins: Porque não << 2 >>

//Rosevania Bariviera: absurdo não comprar << 1 >>

Por que bolo de caneca esse ano?
//Weslen Jorge Lima Borges: Para comemorar com você mesmo nessa pandemia. << 4 >>

//José Victor P. Inácio: Porque dia de aniversario tem que ter bolo e bolo de caneca é pratico << 9 >>

//Rafael Chagas: E por que não? << 190 >>

//Jhenyfer Beatriz Carpes Dutra: Porque a pandemia não permitiu comemorarmos juntos, mas mesmo assim a Useall deu um jeitinho de nos sentirmos especiais ♥ << 1 >>

Por que não tem coqueiros na frente da Useall?
//Kesley Ferreira Alves: Não sei, mais quero descobrir << 5 >>

//Rafael Chagas: pq senão seria coqueirall... << 3 >>

//LILIAN NART GRASSI MAZZORANA: Falta de espaço? << 15 >>

//Nereu Lopes Neto: pois ngm plantou << 11 >>

Por que sair do bronze é tão difícil?
//Michel Diogo Formigoni: não entendi << 1 >>

//Ângelo José da Rosa: Porque não vai ser a riot que vai decidir meu elo, eu posso ser bronze mas tenho coração de challenger << 1 >>

//Tiago Pereira dos Santos: Boa pergunta. << 37 >>

//Vinnicius Ugioni: Porque nós achamos que sempre estamos dando nosso melhor, mas tem sempre pessoas mais capacitadas e esforçadas que nós. << 39 >>

//Jannaina Anita Sangaletti: porque eu sou noob << 1 >>

//teste teste: testeteste << 1 >>

//LILIAN NART GRASSI MAZZORANA: No meu caso. Pego "bronze no verão".. mas é tomar uns 10 banhos já fico branca novamente. Foi o que me veio em mente.. << 33 >>

//Willi Villi Viana: Para ter mais fluidez no trabalho e agilidade nas atividades. << 10 >>

//Rafael Chagas: e quando chegou no bronze? << 4 >>

//Nério Frank da Silveira: Além de ser cultursesco, é a melhor forma de garantir mais 3 salgadaços de graça durante o ano kkk << 298 >>

//Filipe Querino dos Santos: Desempenho << 28 >>

Por que fazer home office?
//Edeval Torres Junior: Porque é diversão << 1 >>

//Natanael Dagostin Ghellere: Para que o chefe não fique no cangote. << 1 >>

//Rafael Chagas: E por que não? << 75 >>

//VINICIUS PACHECO FERREIRA: Menos custos, e maior desempenho << 2 >>

//Weslen Jorge Lima Borges: por que é mais facil trabalhar de casa? << 1 >>

//Willi Villi Viana: Para ter mais fluidez no trabalho e agilidade nas atividades. << 142 >>

//12345678910: testeteste << 7 >>

Por que além da festa de final de ano sempre fazemos outras festas também?
//João Vitor Marques.: Todo dia é uma festa. << 1 >>

//LILIAN NART GRASSI MAZZORANA: Festão são confraternizações << 41 >>

//Rafael Chagas: 365 dias em um ano para ter apenas uma festa? << 4 >>

//Josué Trombim: Porque final de ano é feito pra comemorar as cagadas e os sucessos decorridos do ano << 26 >>

//Otomar Rocha Speck: Valorizar o que fizemos, nossas conquistas << 5 >>

Por que 42?
